web-scraper-order,web-scraper-start-url,containers_link,containers_link-href,Nombre_de_pieces,Nombre_salles_bain,Superficie,Adresse
"1752397508-25","https://sn.coinafrique.com/categorie/villas","1 000 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-aux-mamelles-makiou-faye-5406955","6","4","350 m2","Mamelles, Dakar, Sénégal"
"1752397516-26","https://sn.coinafrique.com/categorie/villas","1 500 000CFA","https://sn.coinafrique.com/annonce/villas/location-villas-6-pieces-mamelles-5369767","6","5","300","Mamelles, Dakar, Sénégal"
"1752397528-27","https://sn.coinafrique.com/categorie/villas","3 000 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-r1-a-mermoz-jardin-et-piscine-5373182","6","5","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752397538-28","https://sn.coinafrique.com/categorie/villas","250 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-5pieces-mbao-5417248","5","2","150","Mbao, Dakar, Sénégal"
"1752397551-29","https://sn.coinafrique.com/categorie/villas","Prix sur demande","https://sn.coinafrique.com/annonce/villas/vente-villa-8pieces-almadies-5373316","11","5","750 m2","Ngor, Dakar, Sénégal"
"1752397561-30","https://sn.coinafrique.com/categorie/villas","Prix sur demande","https://sn.coinafrique.com/annonce/villas/vente-villa-mboro-5417359","4","330","","Mboro, Sénégal"
"1752397573-31","https://sn.coinafrique.com/categorie/villas","950 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-7pieces-fann-5396779","7","5","600","Fann, Dakar, Sénégal"
"1752397588-32","https://sn.coinafrique.com/categorie/villas","50 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-8pieces-sengal-5401632","9","5","150 m2","Mbao, Dakar, Sénégal"
"1752397598-33","https://sn.coinafrique.com/categorie/villas","800 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-meublee-5-pieces-saly-5417957","5","4","500","Saly, Sénégal"
"1752397607-34","https://sn.coinafrique.com/categorie/villas","Prix sur demande","https://sn.coinafrique.com/annonce/villas/vente-villa-10-pieces-dakar-5418406","10","158","","Dakar, Sénégal"
"1752397616-35","https://sn.coinafrique.com/categorie/villas","38 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-basse-a-fass-mbao-a-la-cite-nelson-mandela-5402427","3","200 m2","","Dakar, Sénégal"
"1752397637-36","https://sn.coinafrique.com/categorie/villas","50 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villas-mbao-5402455","","","","Mbao, Dakar, Sénégal"
"1752397650-37","https://sn.coinafrique.com/categorie/villas","1 700 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-r1-a-mermoz-5378926","6","5","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752397670-38","https://sn.coinafrique.com/categorie/villas","40 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-5pieces-keur-mbaye-fall-5408746","5","1","150 m2","Dakar, Sénégal"
"1752397683-39","https://sn.coinafrique.com/categorie/villas","35 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-7pieces-keur-mbaye-fall-5408749","7","4","180 m2","Dakar, Sénégal"
"1752397714-40","https://sn.coinafrique.com/categorie/villas","85 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-5pieces-almadie-2-5397546","5","3","152 m2","Almadies 2, Dakar, Sénégal"
"1752397731-41","https://sn.coinafrique.com/categorie/villas","3 000 000CFA","https://sn.coinafrique.com/annonce/villas/location-villa-5pieces-mermoz-5384472","5","3","750 m2","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1752397743-42","https://sn.coinafrique.com/categorie/villas","500 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-8pieces-mamelles-5374819","8","6","200","Mamelles, Dakar, Sénégal"
"1752397767-43","https://sn.coinafrique.com/categorie/villas","1 500 000CFA","https://sn.coinafrique.com/annonce/villas/location-villas-mamelles-5419125","","","","Mamelles, Dakar, Sénégal"
"1752397781-44","https://sn.coinafrique.com/categorie/villas","120 000 000CFA","https://sn.coinafrique.com/annonce/villas/vente-villa-5pieces-diamniadio-5375007","5","4","200 m2","Diamniadio, Sénégal"
"1752397791-45","https://sn.coinafrique.com/categorie/villas","Prix sur demande","https://sn.coinafrique.com/annonce/villas/vente-villas-clinique-raby-5419222","389 m2","","","Dieuppeul-Derklé, Dakar, Sénégal"
