web-scraper-order,web-scraper-start-url,containers,containers-href,Superficie,Prix,Adresse,Lien_image,Lien_image-href
"1752436042-15","https://sn.coinafrique.com/categorie/terrains","280 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-262m-sotrac-mermoz-5367583","262","280 000 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-262m-sotrac-mermoz-5367583#"
"1752436046-16","https://sn.coinafrique.com/categorie/terrains","1 500 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-pied-dans-leau-aux-almadies-5398697","5000 m2","1 500 000 CFA","Almadies, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-pied-dans-leau-aux-almadies-5398697#"
"1752436052-17","https://sn.coinafrique.com/categorie/terrains","85 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-201-m-a-almadies-reclassement-5389908","201 m2","85 000 000 CFA","Almadies, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-201-m-a-almadies-reclassement-5389908#"
"1752436058-18","https://sn.coinafrique.com/categorie/terrains","12 500 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-tivaouane-peulh-5415115","150","12 500 000 CFA","Keur Massar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-tivaouane-peulh-5415115#"
"1752436062-19","https://sn.coinafrique.com/categorie/terrains","1 200 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-pied-dans-leau-yoff-virage-5399023","900 m2","1 200 000 CFA","Yoff, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-pied-dans-leau-yoff-virage-5399023#"
"1752436067-20","https://sn.coinafrique.com/categorie/terrains","Prix sur demande","https://sn.coinafrique.com/annonce/terrains/terrain-7300m-industrielle-bel-air-5390202","7300 m2","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-7300m-industrielle-bel-air-5390202#"
"1752436071-21","https://sn.coinafrique.com/categorie/terrains","40 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-cite-kalia-5415694","150 m2","40 000 000 CFA","Keur Massar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-cite-kalia-5415694#"
"1752436076-22","https://sn.coinafrique.com/categorie/terrains","7 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-5416562","150","7 000 000 CFA","Keur Massar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-150m-keur-massar-5416562#"
"1752436080-23","https://sn.coinafrique.com/categorie/terrains","2 500 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-180-m-tougouni-5417235","180 m2","2 500 000 CFA","Thies, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-180-m-tougouni-5417235#"
"1752436085-24","https://sn.coinafrique.com/categorie/terrains","7 500 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-300m-mboro-5417351","300","7 500 000 CFA","Mboro, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-300m-mboro-5417351#"
"1752436089-25","https://sn.coinafrique.com/categorie/terrains","15 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-thies-5417413","150","15 000 000 CFA","Thies, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-150-m-thies-5417413#"
"1752436093-26","https://sn.coinafrique.com/categorie/terrains","3 500 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-a-dias-5407719","300 m2","3 500 000 CFA","Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-a-dias-5407719#"
"1752436097-27","https://sn.coinafrique.com/categorie/terrains","80 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-920m-louly-5418425","10920 m2","80 000 000 CFA","Mbour, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-920m-louly-5418425#"
"1752436102-28","https://sn.coinafrique.com/categorie/terrains","10 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-300m-cite-apix-5393250","300","10 000 000 CFA","Niaga, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-300m-cite-apix-5393250#"
"1752436106-29","https://sn.coinafrique.com/categorie/terrains","16 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-saly-velingara-5418500","300 m2","16 000 000 CFA","Mbour, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-300-m-saly-velingara-5418500#"
"1752436112-30","https://sn.coinafrique.com/categorie/terrains","5 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-200m-sicap-liberte-5418595","200","5 000 000 CFA","Sicap Liberté, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-200m-sicap-liberte-5418595#"
"1752436121-31","https://sn.coinafrique.com/categorie/terrains","160 000 000CFA","https://sn.coinafrique.com/annonce/terrains/terrains-300m-hangars-pelerins-yoff-5371142","300","160 000 000 CFA","Yoff, Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrains-300m-hangars-pelerins-yoff-5371142#"
"1752436127-32","https://sn.coinafrique.com/categorie/terrains","5 500 000CFA","https://sn.coinafrique.com/annonce/terrains/terrain-225-m-yenne-5418763","225 m2","5 500 000 CFA","Toubab Dialao, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/terrain-225-m-yenne-5418763#"
"1752436136-33","https://sn.coinafrique.com/categorie/terrains","25 000 000CFA","https://sn.coinafrique.com/annonce/terrains/vente-villa-inachevee-ouest-foire-5397719","7","25 000 000 CFA","Dakar, Sénégal","Véhicules & Immobilier","https://sn.coinafrique.com/annonce/terrains/vente-villa-inachevee-ouest-foire-5397719#"
